player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,paint_rebounding_norm,3catch_and_shoot_norm,pullupshoot_norm,tm,labels
JJ Redick,28.2,0.526,0.227,0.599,0.6,7.9,7.8,1.3,0.5,9.1,21.9,2.0,-2.0,0.8164464,20.412288,59.623824,LAC,3
JaMychal Green,27.3,0.29,0.334,0.601,8.8,21.1,6.3,1.1,1.5,14.1,14.4,-0.4,1.0,4.50177,5.17881,3.009825,MEM,0
Jabari Parker,33.9,0.219,0.268,0.563,5.4,15.7,14.3,1.5,1.1,9.2,26.5,1.5,-1.3,5.9470092,7.04781,37.574082,MIL,1
Jae Crowder,32.4,0.547,0.301,0.613,2.3,17.3,10.1,1.5,0.8,8.8,17.0,1.4,0.1,2.2356,24.691392,33.762096,BOS,3
Jahlil Okafor,22.7,0.0,0.335,0.546,7.9,15.5,9.0,0.9,3.4,14.4,24.1,-3.4,0.1,5.2100586,0.0,10.896,PHI,0
Jakob Poeltl,11.6,0.0,0.496,0.589,14.1,15.7,2.7,1.4,2.8,17.2,12.1,-1.2,0.5,3.9329568,0.0,0.0,TOR,4
Jamal Crawford,26.3,0.371,0.234,0.526,0.9,5.7,15.1,1.4,0.5,12.3,22.7,-1.0,-2.1,2.367,3.189401,78.20305,LAC,7
Jamal Murray,21.5,0.471,0.164,0.518,2.6,10.7,14.0,1.4,1.1,12.6,21.6,-0.5,-2.1,2.4811215,5.861975,28.82376,DEN,7
Jameer Nelson,27.3,0.452,0.104,0.544,1.5,8.8,26.0,1.3,0.3,17.0,15.8,0.3,-2.3,0.819,5.66202,41.86728,DEN,2
James Ennis,23.5,0.427,0.343,0.581,5.1,14.9,6.5,1.6,1.2,13.8,13.0,-1.0,1.0,3.104444,5.557985,6.46767,MEM,6
James Harden,36.4,0.493,0.575,0.613,3.5,20.9,50.7,2.0,1.0,19.5,34.2,8.7,1.5,2.0464444,4.107376,163.21032,HOU,11
James Johnson,27.4,0.333,0.28,0.564,3.5,16.6,20.9,1.8,3.2,16.5,22.0,0.5,2.2,2.9079072,6.998508,20.774406,MIA,6
Jared Dudley,21.3,0.587,0.188,0.579,2.4,15.9,12.5,1.5,0.9,16.1,13.7,-0.1,-0.1,3.4297686,13.216437,7.715925,PHO,9
Jason Smith,14.4,0.237,0.155,0.598,6.8,20.4,5.0,1.0,4.3,14.2,16.7,-2.0,0.6,2.862648,1.65816,1.248768,WAS,0
